"","rank","target","id","raw.score","p.value","top.motif.prop"
"2",2,"TCEAL6","TCEAL6",2.79553602484932,1.9153018055395e-06,0.224299065420561
"3",3,"HLCS","HLCS",2.14568643209619,2.39110604791975e-06,0.224299065420561
"4",4,"GPD1","GPD1",5.44490585033682,8.89379875917987e-06,0.14018691588785
"7",7,"AFF4","AFF4",4.06306038213846,3.1007266184017e-05,0.214953271028037
"8",8.5,"AKR1A1","AKR1A1",3.36364614242526,3.66140684720935e-05,0.149532710280374
"9",8.5,"SPR","SPR",3.36364614242526,3.66140684720935e-05,0.149532710280374
"10",10,"TFAP4","M2944_1.02",3.91587311065392,4.32707968279463e-05,0.168224299065421
"13",13,"JUNB","M4623_1.02",3.13400368647092,7.23541974278651e-05,0.14018691588785
"14",14,"ANXA11","ANXA11",3.40115332898908,7.38438408947559e-05,0.186915887850467
"15",15,"MAFK","M4573_1.02",2.76984754418349,7.80684037463111e-05,0.158878504672897
"16",16,"PGAM2","PGAM2",8.23838838621077,8.18168953527291e-05,0.168224299065421
"17",17,"EZR","VIL2",2.00138226564882,9.04964465699891e-05,0.14018691588785
"19",19,"ZMAT2","ZMAT2",2.42492164814324,9.85391243975568e-05,0.14018691588785
"20",20,"FOS","M4607_1.02",1.97370443017092,0.000140766773656271,0.158878504672897
"21",21,"TGIF2LX","TGIF2LX",2.04830220210117,0.00020256595455788,0.130841121495327
"22",22,"GRHPR","GRHPR",3.93458739730239,0.00021315343838872,0.205607476635514
"23",23,"ZNF503","ZNF503",4.48059371859433,0.000308819271112328,0.149532710280374
"26",26,"PDLIM5","PDLIM5",3.69810536003206,0.000408211373625748,0.214953271028037
"27",27,"TFAP2A","M4524_1.02",2.64045525388901,0.000415820929936817,0.102803738317757
"28",28,"THAP1","THAP1",2.11360573382535,0.00043971963886691,0.0747663551401869
"29",29,"JUND","M4624_1.02",2.06185268822047,0.000480584905273787,0.121495327102804
"31",31,"ZDHHC5","ZDHHC5",2.4404224367825,0.000530802125671814,0.130841121495327
"32",32,"JUN","M4591_1.02",2.98425598213873,0.000537750290035079,0.121495327102804
"33",33,"ZCCHC17","ZCCHC17",1.91052661600395,0.000549936689425897,0.14018691588785
