Additional file 5,
Genes annotated to saDMPs (chromatin loop analysis),
,
,Gene ID
Genes annotated to male biased saDMPs,
1,100526831
2,100847090
3,10794
4,115817
5,147872
6,161424
7,1781
8,205717
9,221264
10,22891
11,22891
12,22992
13,23475
14,25847
15,2885
16,29887
17,336
18,4084
19,440354
20,445
21,50488
22,51085
23,548593
24,552900
25,57489
26,606724
27,613038
28,64288
29,80317
30,83873
31,84134
32,84969
33,8935
34,9896
35,9970
,
Genes annotated to male biased saDMPs,
1,100190940
2,100874093
3,257357
4,26153
5,378938
6,54014
7,54148
8,5745
9,8350
10,8359
11,8366
